sim_index,strategy,total_time_s,pit_stop_count,sc_laps
129,A,6142.076307198483,2,39
130,A,6145.009563972685,2,36
131,A,6139.79661874042,2,48
132,A,6163.615942894057,2,33
133,A,6136.988605183845,2,39
134,A,6133.14793547903,2,43
135,A,6145.529199798533,2,36
136,A,6131.339179510654,2,45
137,A,6135.851776287083,2,40
138,A,6131.512920517916,2,45
139,A,6136.850384292955,2,46
140,A,6134.128289176477,2,46
141,A,6137.594407378251,2,48
142,A,6136.315604190566,2,42
143,A,6140.435206142204,2,48
144,A,6137.657894707858,2,44
145,A,6144.514894557346,2,52
146,A,6146.399898588275,2,42
147,A,6135.550320686364,2,48
148,A,6150.927738394094,2,36
149,A,6138.382798088811,2,44
150,A,6143.005711960855,2,42
151,A,6148.565940916118,2,51
152,A,6139.626803634699,2,50
153,A,6137.727819235336,2,40
154,A,6135.060231524248,2,42
155,A,6136.789823110908,2,48
156,A,6142.707861369772,2,47
157,A,6140.714079185844,2,49
158,A,6135.019458974351,2,36
159,A,6155.3242186414955,2,42
160,A,6135.652977225212,2,48
161,A,6157.801297296517,2,39
162,A,6134.6805762000495,2,41
163,A,6136.691190339616,2,49
164,A,6131.898284318307,2,42
165,A,6140.8002802775245,2,45
166,A,6162.042218308305,2,44
167,A,6146.036747687766,2,37
168,A,6132.255959151477,2,46
169,A,6146.985767857752,2,53
170,A,6145.787500371358,2,38
171,A,6158.121076364209,2,39
172,A,6134.283246480712,2,47
173,A,6151.287396236025,2,34
174,A,6141.886472775557,2,53
175,A,6142.705071103545,2,47
176,A,6142.542185446032,2,42
177,A,6143.518942861757,2,37
178,A,6140.21834602069,2,46
179,A,6136.759578868179,2,49
180,A,6143.500106646832,2,54
181,A,6142.538826313412,2,48
182,A,6141.891731977169,2,55
183,A,6145.329284179072,2,52
184,A,6140.720859972093,2,48
185,A,6139.504847013126,2,48
186,A,6149.570288529617,2,45
187,A,6150.080699326397,2,45
188,A,6143.425640990071,2,46
189,A,6139.521133945998,2,47
190,A,6136.640326269851,2,42
191,A,6134.87202759799,2,44
192,A,6136.224331913791,2,51
193,A,6140.450132183634,2,44
194,A,6143.788933889124,2,36
195,A,6140.85894207053,2,40
196,A,6145.2564103306195,2,39
197,A,6149.714965846412,2,51
198,A,6135.8655267933045,2,48
199,A,6136.215984360288,2,45
200,A,6156.5242599996545,2,34
201,A,6136.076904444979,2,48
202,A,6137.071920584749,2,51
203,A,6141.0342220226,2,51
204,A,6141.68582672065,2,42
205,A,6133.839640670358,2,42
206,A,6143.808418226452,2,35
207,A,6136.796760864291,2,43
208,A,6159.042007467701,2,54
209,A,6154.35342009117,2,36
210,A,6135.917659652521,2,43
211,A,6147.423250309473,2,48
212,A,6150.250779432954,2,53
213,A,6139.115536462594,2,39
214,A,6146.775081856575,2,48
215,A,6135.212238542805,2,45
216,A,6140.073838709039,2,50
217,A,6139.579171610976,2,45
218,A,6147.007330953813,2,39
219,A,6134.835913935093,2,39
220,A,6156.980433798612,2,39
221,A,6150.183851140653,2,39
222,A,6137.283380095036,2,45
223,A,6153.011675518101,2,39
224,A,6133.778136158744,2,48
225,A,6148.960447781617,2,52
226,A,6158.068601291216,2,36
227,A,6141.644899120678,2,40
228,A,6138.307078084835,2,51
229,A,6151.5131665718445,2,39
230,A,6138.770747394401,2,51
231,A,6133.995613063051,2,47
232,A,6156.377145280656,2,36
233,A,6138.202550045784,2,51
234,A,6144.853513556391,2,54
235,A,6138.137930678181,2,43
236,A,6172.291067943194,2,36
237,A,6159.691949732864,2,36
238,A,6134.37333537433,2,42
239,A,6139.2897626048325,2,51
240,A,6131.7260581435885,2,48
241,A,6150.002511553314,2,49
242,A,6153.611924937617,2,45
243,A,6134.012401973213,2,45
244,A,6151.73974441904,2,56
245,A,6144.025403214886,2,41
246,A,6133.112567459775,2,45
247,A,6133.411558504351,2,47
248,A,6138.489288585256,2,45
249,A,6140.854011453914,2,41
250,A,6139.862710677556,2,45
251,A,6144.482751287388,2,42
252,A,6147.245855391582,2,46
253,A,6148.831178353987,2,57
254,A,6167.48759982279,2,33
255,A,6163.260327219734,2,36
256,A,6137.702615092232,2,39
257,A,6153.539085144301,2,36
258,A,6136.4817493125565,2,45
259,A,6143.709408910314,2,54
260,A,6141.935151469665,2,51
261,A,6168.833915046125,2,31
262,A,6137.251642396058,2,41
263,A,6137.773657444769,2,45
264,A,6139.5131758961115,2,51
265,A,6132.62402643695,2,45
266,A,6150.472736875267,2,44
267,A,6141.828461834598,2,51
268,A,6144.009020729745,2,45
269,A,6144.116584014728,2,41
270,A,6136.434731279132,2,42
271,A,6134.808858556119,2,45
272,A,6149.211699290328,2,36
273,A,6135.05818648934,2,45
274,A,6140.884107315744,2,47
275,A,6136.491021463357,2,45
276,A,6135.800020282348,2,45
277,A,6164.481875041152,2,50
278,A,6147.458417491197,2,51
279,A,6169.72884527126,2,41
280,A,6164.389181272694,2,29
281,A,6158.779497109851,2,36
282,A,6140.165352020444,2,49
283,A,6144.703630661619,2,36
284,A,6155.624251311416,2,50
285,A,6150.00351539144,2,38
286,A,6151.794375093629,2,38
287,A,6150.108298604814,2,41
288,A,6155.80152395904,2,40
289,A,6141.481960696468,2,42
290,A,6158.365926390007,2,39
291,A,6143.218797161082,2,51
292,A,6145.480648657473,2,42
293,A,6146.654156568864,2,38
294,A,6132.510599168339,2,42
295,A,6138.8570563712965,2,51
296,A,6142.993316032958,2,53
297,A,6136.22920352046,2,49
298,A,6149.264459155068,2,42
299,A,6150.902273698041,2,56
300,A,6143.0201298646425,2,42
301,A,6136.040975326374,2,50
302,A,6147.420445949135,2,49
303,A,6139.273208277754,2,39
304,A,6144.720378771216,2,49
305,A,6163.104928240631,2,33
306,A,6171.834551389145,2,34
307,A,6132.165114114002,2,45
308,A,6138.8618469593775,2,42
309,A,6137.314753792506,2,45
310,A,6137.315617144102,2,45
311,A,6140.847130099493,2,37
312,A,6154.792815749149,2,44
313,A,6142.333851810227,2,45
314,A,6140.488923589422,2,49
315,A,6146.568250091049,2,46
316,A,6139.847501542884,2,50
317,A,6163.880394195035,2,40
318,A,6149.908491067374,2,54
319,A,6142.894843281645,2,51
320,A,6139.547227851943,2,45
321,A,6144.952402969149,2,57
322,A,6151.502512533067,2,33
323,A,6137.327758731411,2,42
324,A,6141.317056508571,2,42
325,A,6137.987054716797,2,41
326,A,6146.796443241842,2,50
327,A,6135.176331528835,2,49
328,A,6140.9266247828655,2,45
329,A,6145.82027313419,2,47
330,A,6138.639111179997,2,51
331,A,6140.4760582337685,2,49
332,A,6143.900512295393,2,39
333,A,6168.915459871318,2,33
334,A,6134.835352724365,2,43
335,A,6160.426607978375,2,42
336,A,6143.995277890741,2,51
337,A,6141.644791267362,2,45
338,A,6146.242715473694,2,51
339,A,6131.978205451278,2,47
340,A,6132.32735243907,2,42
341,A,6137.165194566505,2,45
342,A,6160.54530601479,2,38
343,A,6146.314399880649,2,42
344,A,6144.785669313981,2,45
345,A,6141.00977314246,2,47
346,A,6133.639468968015,2,45
347,A,6143.826897375185,2,48
348,A,6150.958723106135,2,50
349,A,6133.940003332748,2,45
350,A,6137.045692694943,2,40
351,A,6148.235636198842,2,45
352,A,6146.55767633995,2,51
353,A,6146.3341884170295,2,38
354,A,6142.448823219,2,50
355,A,6145.594839106952,2,41
356,A,6135.706335680169,2,48
357,A,6138.1817086878045,2,41
358,A,6137.369383106901,2,48
359,A,6133.0351244282665,2,47
360,A,6146.276339193431,2,53
361,A,6141.001914101308,2,42
362,A,6142.274908192271,2,39
363,A,6137.119120003813,2,45
364,A,6141.744339396814,2,54
365,A,6136.275728687053,2,36
366,A,6184.7994723342845,2,32
367,A,6137.668761642699,2,54
368,A,6153.034533901176,2,43
369,A,6150.592019985375,2,39
370,A,6143.34676978091,2,37
371,A,6148.6363581355345,2,36
372,A,6150.097760252631,2,36
373,A,6144.260868877472,2,45
374,A,6152.309575161749,2,41
375,A,6155.875965566135,2,39
376,A,6149.412722274843,2,39
377,A,6137.622494621055,2,39
378,A,6133.004130675931,2,45
379,A,6194.462211555821,2,35
380,A,6143.5330213924635,2,45
381,A,6146.518924917011,2,35
382,A,6137.688415082685,2,42
383,A,6139.823085403166,2,40
384,A,6141.426531596499,2,54
385,A,6146.756149354904,2,49
386,A,6134.375821720286,2,49
387,A,6145.717363434869,2,47
388,A,6144.8290966306095,2,49
389,A,6134.157048869309,2,48
390,A,6134.068482120892,2,45
391,A,6185.329445591362,2,36
392,A,6148.355407854658,2,33
393,A,6157.526212417468,2,36
394,A,6134.6169947229055,2,48
395,A,6145.17707789108,2,41
396,A,6146.617203441945,2,46
397,A,6138.796626017671,2,42
398,A,6140.253144875613,2,39
399,A,6140.751179319028,2,46
400,A,6139.594965451678,2,53
401,A,6133.188878749658,2,40
402,A,6144.583246058646,2,39
403,A,6136.463501519511,2,47
404,A,6136.906688510777,2,42
405,A,6136.460603431152,2,47
406,A,6148.692236066064,2,48
407,A,6161.883404450297,2,33
408,A,6151.094828440318,2,42
409,A,6130.858183494903,2,45
410,A,6154.620549303809,2,33
411,A,6146.4760333965,2,34
412,A,6159.705145789616,2,31
413,A,6154.911178392996,2,48
414,A,6140.297633032563,2,46
415,A,6140.593606656784,2,48
416,A,6146.128363136732,2,57
417,A,6141.756368784088,2,43
418,A,6135.81670209771,2,48
419,A,6147.753746306411,2,45
420,A,6136.997473516815,2,49
421,A,6146.509016276933,2,42
422,A,6142.547288042449,2,48
423,A,6154.782513179426,2,38
424,A,6134.696989986643,2,50
425,A,6141.293913541627,2,36
426,A,6136.118507332778,2,48
427,A,6136.944540978515,2,42
428,A,6141.938992879043,2,39
429,A,6156.73990999495,2,37
430,A,6141.910181114475,2,39
431,A,6143.612236579577,2,37
432,A,6146.049812072848,2,33
433,A,6156.4110114845735,2,40
434,A,6141.738504282327,2,40
435,A,6147.356266932193,2,51
436,A,6147.361565199105,2,51
437,A,6137.939994201664,2,42
438,A,6144.909451149838,2,37
439,A,6156.1995800798795,2,54
440,A,6161.987036998198,2,39
441,A,6133.027284164754,2,47
442,A,6143.546555692325,2,47
443,A,6139.577903857766,2,48
444,A,6135.513559986769,2,45
445,A,6147.888435311778,2,45
446,A,6141.259132167351,2,48
447,A,6157.463534201615,2,59
448,A,6151.272460060766,2,33
449,A,6143.589419227188,2,47
450,A,6149.976767410704,2,54
451,A,6135.362201323536,2,42
452,A,6138.834454327399,2,42
453,A,6172.196586266998,2,39
454,A,6145.3681495383935,2,56
455,A,6146.533701401486,2,44
456,A,6136.105881923436,2,42
457,A,6145.7085304140655,2,48
458,A,6141.129981810523,2,44
459,A,6148.994462848238,2,42
460,A,6150.855797821764,2,34
461,A,6153.507675998186,2,49
462,A,6150.853651693474,2,33
463,A,6144.0430675158605,2,41
464,A,6137.659599828295,2,48
465,A,6149.6260422578025,2,36
466,A,6164.6774023974895,2,36
467,A,6148.429369477424,2,47
468,A,6138.441789379644,2,45
469,A,6134.360805192931,2,46
470,A,6139.90296714865,2,45
471,A,6137.520676197655,2,36
472,A,6131.670996842682,2,45
473,A,6133.339589579089,2,48
474,A,6135.207862004072,2,42
475,A,6147.522412881215,2,39
476,A,6138.853463813861,2,42
477,A,6165.252141577396,2,30
478,A,6139.691531208282,2,51
479,A,6135.884602823634,2,45
480,A,6138.174478384611,2,40
481,A,6143.244902155256,2,36
482,A,6154.216208963253,2,60
483,A,6133.566188705212,2,48
484,A,6154.651831559405,2,59
485,A,6144.476004298935,2,51
486,A,6151.576674803149,2,50
487,A,6143.5175111267445,2,48
488,A,6171.242927530466,2,36
489,A,6143.856101651217,2,54
490,A,6140.918214489506,2,39
