sim_index,strategy,total_time_s,pit_stop_count,sc_laps
0,A,6144.241163143156,2,39
1,A,6134.880042132107,2,45
2,A,6136.333731470897,2,48
3,A,6131.994359447561,2,48
4,A,6134.438974857707,2,45
5,A,6145.218818053183,2,37
6,A,6151.674434214815,2,45
7,A,6137.337171383038,2,43
8,A,6138.878755363754,2,51
9,A,6138.274607019899,2,49
10,A,6139.478251784537,2,51
11,A,6138.088604682027,2,43
12,A,6142.115617216965,2,36
13,A,6151.865637167319,2,45
14,A,6141.421692894237,2,51
15,A,6157.954220936764,2,47
16,A,6141.392419654707,2,48
17,A,6150.6861101841705,2,37
18,A,6137.523995036784,2,48
19,A,6139.110645290997,2,45
20,A,6136.725480110768,2,42
21,A,6139.171564564338,2,47
22,A,6135.224619807527,2,42
23,A,6147.618692387711,2,50
24,A,6142.787563326822,2,34
25,A,6137.415378138477,2,41
26,A,6133.1208577054795,2,47
27,A,6150.530155244541,2,51
28,A,6141.214258956131,2,51
29,A,6146.294131271623,2,42
30,A,6141.080114350899,2,39
31,A,6144.183573964769,2,40
32,A,6194.629486266388,2,24
33,A,6139.394050462777,2,48
34,A,6137.767239857828,2,45
35,A,6136.3741570901675,2,42
36,A,6143.8397915614405,2,42
37,A,6146.53249162595,2,39
38,A,6135.829899416535,2,42
39,A,6136.5831133381225,2,48
40,A,6138.458587148362,2,51
41,A,6141.430881510434,2,53
42,A,6134.9020765556015,2,45
43,A,6138.148121114087,2,41
44,A,6134.284697460574,2,49
45,A,6137.958088052546,2,47
46,A,6132.765282359536,2,43
47,A,6145.000090476698,2,38
48,A,6137.568633309172,2,39
49,A,6142.240619135843,2,42
50,A,6132.690581639014,2,46
51,A,6151.4480454200375,2,36
52,A,6140.515489122451,2,48
53,A,6139.700384851123,2,51
54,A,6133.26200176798,2,47
55,A,6140.466261990144,2,42
56,A,6144.059951867279,2,40
57,A,6147.295783539637,2,45
58,A,6136.7312572310375,2,51
59,A,6137.970903372429,2,45
60,A,6143.087423237224,2,48
61,A,6156.419133660348,2,33
62,A,6143.267855316008,2,46
63,A,6141.773615762967,2,54
64,A,6138.208572226211,2,43
65,A,6144.263589911426,2,47
66,A,6145.885953067955,2,43
67,A,6148.365681390849,2,33
68,A,6142.6462704993355,2,45
69,A,6145.481951555527,2,46
70,A,6140.442788621095,2,47
71,A,6138.554999370445,2,51
72,A,6139.692157605276,2,43
73,A,6146.614446550467,2,39
74,A,6156.363524717376,2,39
75,A,6142.60544148324,2,48
76,A,6146.609442868716,2,35
77,A,6137.014047002831,2,46
78,A,6135.842152437635,2,41
79,A,6158.162942213064,2,46
80,A,6155.998912236541,2,34
81,A,6132.974977762745,2,45
82,A,6146.423195422694,2,52
83,A,6132.271607852992,2,43
84,A,6138.212731667029,2,50
85,A,6153.530390360227,2,54
86,A,6137.295453103705,2,45
87,A,6159.392894819756,2,33
88,A,6144.345722884513,2,48
89,A,6148.805298585732,2,42
90,A,6168.438337589128,2,48
91,A,6146.713804137757,2,35
92,A,6150.380495148386,2,46
93,A,6167.126766398423,2,38
94,A,6145.811876159535,2,45
95,A,6135.656435116992,2,42
96,A,6134.804458339064,2,46
97,A,6149.656617445724,2,54
98,A,6181.089336183369,2,29
99,A,6154.09363784254,2,48
100,A,6135.305761303881,2,46
101,A,6133.737202096718,2,45
102,A,6145.763883492838,2,38
103,A,6132.975523371737,2,45
104,A,6145.563812378425,2,55
105,A,6140.494596623994,2,42
106,A,6145.035422269359,2,46
107,A,6149.204151113577,2,45
108,A,6130.135151083147,2,42
109,A,6146.088255616669,2,57
110,A,6138.708651321867,2,45
111,A,6134.713195819376,2,45
112,A,6143.968056485837,2,39
113,A,6151.719474727561,2,41
114,A,6135.209235913094,2,42
115,A,6140.344077729989,2,44
116,A,6143.398503625254,2,42
117,A,6138.082530364666,2,50
118,A,6142.736234330051,2,45
119,A,6137.494056652102,2,42
120,A,6156.29427073473,2,35
121,A,6141.854380046525,2,42
122,A,6165.945457220172,2,30
123,A,6159.261481571566,2,36
124,A,6151.079290943876,2,56
125,A,6145.2308943478765,2,39
126,A,6140.139427538329,2,51
127,A,6131.122573398117,2,42
128,A,6133.396601459951,2,44
129,A,6156.743243725352,2,37
130,A,6155.08889742627,2,36
131,A,6146.448368981174,2,54
132,A,6152.738497960027,2,36
133,A,6139.701540803452,2,47
134,A,6158.201867815652,2,36
135,A,6136.17893129355,2,46
136,A,6135.308821115032,2,48
137,A,6146.955892139125,2,56
